id,name,type,x,y,color,price
1770527455,gsyjags,park,12.860037,77.499138,#27ae60,
94,Silk Institute Metro,metro,12.861500,77.557701,#34495e,
93,Thalaghattapura Metro,metro,12.869100,77.561203,#34495e,
33,Turahalli Forest,park,12.888300,77.563400,#27ae60,
96,Kengeri Metro,metro,12.912700,77.483398,#34495e,
50,PVR MarketSquare,cinema,12.912300,77.520103,#9b59b6,
92,Vajarahalli Metro,metro,12.875300,77.564697,#34495e,
91,Konanakunte Cross Metro,metro,12.884700,77.572998,#34495e,
23,Bannerghatta National Park,park,12.797200,77.577301,#27ae60,
90,Yelachenahalli Metro,metro,12.891400,77.566498,#34495e,
72,Banashankari Metro,metro,12.915700,77.573898,#34495e,
98,RV Road Metro,metro,12.921900,77.580002,#34495e,
97,Pattanagere Metro,metro,12.923400,77.512199,#34495e,
1770527986,mingos,restaurant,12.923785,77.501305,#f39c12,
49,INOX Forum Value Mall,cinema,12.937700,77.528297,#9b59b6,
52,Vidyarthi Bhavan,restaurant,12.942600,77.566902,#f39c12,budget
86,Deepanjali Nagar Metro,metro,12.955000,77.531601,#34495e,
85,Attiguppe Metro,metro,12.957400,77.528603,#34495e,
76,Vijayanagar Metro,metro,12.970700,77.537102,#34495e,
27,Bugle Rock Park,park,12.943200,77.571098,#27ae60,
71,Jayanagar Metro,metro,12.930400,77.580200,#34495e,
4,Lalbagh Lake,park,12.948500,77.584198,#27ae60,
3,Lalbagh West Gate,park,12.950000,77.580002,#27ae60,
75,KR Market Metro,metro,12.963400,77.578598,#34495e,
22,Lalbagh Botanical Garden,park,12.950700,77.584801,#27ae60,
53,MTR Lalbagh,restaurant,12.959100,77.585701,#f39c12,mid
42,PVR Vega City,cinema,12.907100,77.596298,#9b59b6,
48,Cinepolis Royal Meenakshi,cinema,12.880400,77.597504,#9b59b6,
44,PVR Soul Spirit,cinema,12.915800,77.610100,#9b59b6,
99,BTM Layout Metro,metro,12.916600,77.610100,#34495e,
16,Ranga Shankara Theatre,cinema,12.922100,77.590302,#9b59b6,
35,Madiwala Lake,park,12.920900,77.617302,#27ae60,
38,PVR Forum Mall,cinema,12.927900,77.627098,#9b59b6,
63,Ironhill Brewery,restaurant,12.911100,77.641899,#f39c12,premium
10,Kaikondrahalli Lake Park,park,12.910800,77.663200,#27ae60,
30,Kaikondrahalli Lake,park,12.911600,77.664902,#27ae60,
29,Agara Lake,park,12.920400,77.641403,#27ae60,
9,Agara Lake Walkway,park,12.918900,77.641800,#27ae60,
58,Truffles Koramangala,restaurant,12.935200,77.614304,#f39c12,mid
65,Rameshwaram Cafe,restaurant,12.970400,77.594002,#f39c12,budget
54,Koshy's,restaurant,12.971600,77.594597,#f39c12,mid
15,Garuda Mall Complex,mall,12.971500,77.608498,#3498db,
37,INOX Garuda Mall,cinema,12.971600,77.603302,#9b59b6,
59,Nagarjuna Residency Road,restaurant,12.972300,77.599098,#f39c12,mid
14,Forum Rex Walk,mall,12.972900,77.613297,#3498db,
60,Meghana Foods,restaurant,12.935500,77.614799,#f39c12,mid
40,PVR Phoenix MarketCity,cinema,12.969800,77.646896,#9b59b6,
